iter	Passed	Remaining
0	1	121
1	2	114
2	3	104
3	4	100
4	5	99
5	6	98
6	7	97
7	8	96
8	9	96
9	10	94
10	11	92
11	12	92
12	13	91
13	14	90
14	15	89
15	16	88
16	18	88
17	19	87
18	20	86
19	21	84
20	22	83
21	23	81
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	55
47	49	53
48	50	52
49	51	51
50	53	50
51	54	49
52	55	48
53	56	47
54	56	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
